,comp_produced_prod_mean,price_produced_prod_mean,prod_sp_val_dist,output_all_prdcts,price_produced_prod_std,delta_coefficient,share_produced_products,prod_sp_val_alct,prod_space_struc,max_info
77,3.9367592415122665,129.34959315698748,"normal_[0, 1]",472.5,150.50682517741748,100,0.09,degree_centrality,powerlaw_cluster_4_0.7,0.1
78,3.469588431631441,237.85203036022338,"normal_[0, 1]",443.0,128.65671925040664,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.1
79,3.238994804541377,125.99190269397762,"normal_[0, 1]",911.5,112.76160283362722,100,0.17,degree_centrality,powerlaw_cluster_4_0.7,0.1
80,3.6724467585292913,144.56964238579917,"normal_[0, 1]",587.5,139.80452460327157,100,0.11,degree_centrality,powerlaw_cluster_4_0.7,0.1
81,4.337537337478602,156.4693473180271,"normal_[0, 1]",352.0,158.36292788240675,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.1
82,4.1517191324912455,203.8345307484092,"normal_[0, 1]",338.5,177.8752285398961,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.1
83,5.192327216530012,178.11913481509683,"normal_[0, 1]",521.0,168.08594984407517,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.1
84,3.4193492945830744,88.2347682275783,"normal_[0, 1]",412.0,57.827274468059656,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.1
85,3.435248455736521,123.77973474309587,"normal_[0, 1]",605.0,117.90567915489497,100,0.11,degree_centrality,powerlaw_cluster_4_0.7,0.1
86,4.390963212997473,174.8099444201088,"normal_[0, 1]",495.0,128.58693391804815,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.1
87,3.5467522544847587,133.69660000055927,"normal_[0, 1]",465.0,102.2820285727404,100,0.09,degree_centrality,powerlaw_cluster_4_0.7,0.1
88,3.7356396831826033,79.52519441761858,"normal_[0, 1]",723.0,62.19534442416254,100,0.12,degree_centrality,powerlaw_cluster_4_0.7,0.1
89,3.2081286543054213,140.26720232090003,"normal_[0, 1]",755.0,95.78602233270216,100,0.15,degree_centrality,powerlaw_cluster_4_0.7,0.1
90,4.847636757625151,157.80234704411453,"normal_[0, 1]",734.5,111.09941359417195,100,0.13,degree_centrality,powerlaw_cluster_4_0.7,0.1
91,4.411457548124439,119.04272915735771,"normal_[0, 1]",476.5,130.33597724436913,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.1
92,3.8040565974323504,187.18079362381835,"normal_[0, 1]",552.5,141.94768630539357,100,0.11,degree_centrality,powerlaw_cluster_4_0.7,0.1
93,3.780560934362344,128.94279452902668,"normal_[0, 1]",879.0,95.32688993449464,100,0.16,degree_centrality,powerlaw_cluster_4_0.7,0.1
94,4.226132763934945,172.95498565169197,"normal_[0, 1]",447.0,136.46972181774245,100,0.09,degree_centrality,powerlaw_cluster_4_0.7,0.1
95,4.7307450884957705,148.0042370387034,"normal_[0, 1]",134.5,194.69143261785388,100,0.03,degree_centrality,powerlaw_cluster_4_0.7,0.1
96,4.475757703019377,146.73080601150625,"normal_[0, 1]",598.5,107.48464458525923,100,0.11,degree_centrality,powerlaw_cluster_4_0.7,0.1
97,4.1619468247913085,231.78203691343387,"normal_[0, 1]",336.5,159.13541380462772,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.1
98,3.1667971521719984,107.92820237812587,"normal_[0, 1]",440.0,119.60893341121105,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.1
99,3.4526659019995067,139.53100625590665,"normal_[0, 1]",711.0,129.9498280425259,100,0.13,degree_centrality,powerlaw_cluster_4_0.7,0.1
100,4.119253564610062,252.96480820232543,"normal_[0, 1]",375.37226749999996,152.26629587635202,100,0.09,degree_centrality,powerlaw_cluster_4_0.7,0.3
101,3.2282394321231256,23.450283156489785,"normal_[0, 1]",334.5,23.373783215977348,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
102,4.802806724249592,115.23766593785135,"normal_[0, 1]",366.9839923395445,128.81176162488342,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.3
103,3.7939533808266233,171.33647449748327,"normal_[0, 1]",329.0,145.84262051459302,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.3
104,3.918707116958156,93.44555076093158,"normal_[0, 1]",379.0,72.26031133517773,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.3
105,3.1860872093283286,83.06303442693594,"normal_[0, 1]",257.0,137.013075009511,100,0.05,degree_centrality,powerlaw_cluster_4_0.7,0.3
106,3.891119553913621,161.76376259545432,"normal_[0, 1]",498.0,120.953547215596,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.3
107,4.517036020960938,224.34126779422581,"normal_[0, 1]",360.5,195.76826332784572,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.3
108,3.96081938883614,194.6703164643425,"normal_[0, 1]",278.5,180.92125972754246,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
109,3.4764658857274484,72.28254877529507,"normal_[0, 1]",357.5,107.13575420770687,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
110,3.66609316327742,162.46553222212268,"normal_[0, 1]",328.0,146.53258473576892,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.3
111,3.7661545861030703,166.0560651246455,"normal_[0, 1]",449.5,168.21914470315372,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.3
112,3.788310690526103,133.22331947156462,"normal_[0, 1]",318.5,111.59672939500805,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
113,3.335951044088496,212.11114281070587,"normal_[0, 1]",1006.0,134.11891854593844,100,0.22,degree_centrality,powerlaw_cluster_4_0.7,0.3
114,3.229249973168661,44.315246944035245,"normal_[0, 1]",344.0,47.57127395884698,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
115,4.020244867148279,94.58733538749912,"normal_[0, 1]",446.0,74.01972113972064,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.3
116,3.934851352246836,14.688270836395047,"normal_[0, 1]",159.0,6.569528553307984,100,0.03,degree_centrality,powerlaw_cluster_4_0.7,0.3
117,4.191076853553593,171.21548854794364,"normal_[0, 1]",315.0,161.6455376776195,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
118,3.4448402141133054,166.55350453363536,"normal_[0, 1]",501.7092021022538,166.30118299871924,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.3
119,4.472506997826796,111.97610617061123,"normal_[0, 1]",395.5,131.60914041258286,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.3
120,3.137889378875089,138.07018488115705,"normal_[0, 1]",536.0,120.97521668478778,100,0.11,degree_centrality,powerlaw_cluster_4_0.7,0.3
121,3.738340865351714,140.722219253611,"normal_[0, 1]",227.0,156.164847600679,100,0.05,degree_centrality,powerlaw_cluster_4_0.7,0.3
122,4.743989008265947,173.6451947682401,"normal_[0, 1]",298.5,172.6497556784458,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
123,4.3212491246605875,85.20591393053185,"normal_[0, 1]",347.0,86.40976211646792,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
124,3.7732056140858186,147.35175104421768,"normal_[0, 1]",399.0,129.44622425766354,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.3
125,2.2536898786762545,117.53402057233015,"normal_[0, 1]",481.0,130.92861765036696,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.3
126,4.474760289433688,356.26178591146925,"normal_[0, 1]",300.0,160.5433775403599,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.3
127,4.790942286207409,47.708708711179675,"normal_[0, 1]",285.0,37.61628292160745,100,0.05,degree_centrality,powerlaw_cluster_4_0.7,0.3
128,4.096245750920415,97.02990855006195,"normal_[0, 1]",262.5,144.05551095709814,100,0.05,degree_centrality,powerlaw_cluster_4_0.7,0.3
129,4.193361596910637,96.14870034493809,"normal_[0, 1]",269.5,131.47972213283168,100,0.05,degree_centrality,powerlaw_cluster_4_0.7,0.3
130,4.107553983346127,107.67617963994759,"normal_[0, 1]",326.5,130.18007598910685,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
131,4.165875017606913,93.16580649063505,"normal_[0, 1]",396.0,83.03314679166651,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.3
132,3.056744630048408,100.05740349125891,"normal_[0, 1]",506.5,131.0491657756928,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.3
133,5.31080999416553,230.234165966734,"normal_[0, 1]",558.2453786973283,223.4636249220029,100,0.11,degree_centrality,powerlaw_cluster_4_0.7,0.3
134,4.1320971878374735,45.21831790755254,"normal_[0, 1]",377.0,45.204852196977555,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
135,3.4376957909471453,249.25142237539757,"normal_[0, 1]",400.0,171.6961479773208,100,0.09,degree_centrality,powerlaw_cluster_4_0.7,0.3
136,4.321495039611818,172.21739025149571,"normal_[0, 1]",292.0,169.4143882615221,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
137,4.1262567956945855,100.72547182356372,"normal_[0, 1]",317.5,124.57913773632649,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.3
