,comp_produced_prod_mean,price_produced_prod_mean,output_all_prdcts,price_produced_prod_std,share_produced_products,prod_space_struc
120,3.120318521543234,139.6176293724105,471.5,118.70997998767041,0.09,PLC
121,5.077956113074598,83.74309011633693,293.0,109.4740231970892,0.05,PLC
122,3.951924058012364,128.87098930824484,308.5,134.82341627195768,0.06,PLC
123,5.114056892812156,214.29841662523555,339.0,199.67711493892048,0.07,PLC
124,4.056679453381639,179.51044178185498,563.0,155.8215602932751,0.11,PLC
125,4.375945409963759,304.9027017413198,271.0,190.1453904789147,0.07,PLC
126,3.7329721418463655,101.0041984033954,422.0,128.71143948975802,0.08,PLC
127,4.182990255476598,115.55916929121143,325.5,147.19249177193092,0.06,PLC
128,4.094052835126505,123.44681555029558,534.0,133.5643411158063,0.1,PLC
129,4.1500244162412425,180.20519212397042,269.0,174.49848348405206,0.06,PLC
130,4.382673579362256,143.79177358481252,268.5,167.02567735340278,0.05,PLC
131,3.1975247273821727,60.29549189585989,292.0,96.62286135561493,0.05,PLC
132,4.8553341572087065,238.24533909414782,244.0,233.83600225147168,0.05,PLC
133,4.590561293191928,64.63133873345244,342.0,52.39613600845885,0.06,PLC
134,4.572722400366528,223.1631308788259,253.0,177.88222932345937,0.05,PLC
135,3.8434108949728167,240.76314389953828,282.0,151.2144483409117,0.07,PLC
136,4.436780794108278,138.47797897098658,264.5,156.28759260574634,0.05,PLC
137,3.106907197541528,121.60308827015707,296.5,157.74538015466547,0.06,PLC
138,3.5069480695131166,123.94852503103235,522.5,95.13334842624592,0.1,PLC
139,3.359056548631915,43.418862215927476,528.0,32.22816951272752,0.09,PLC
140,3.9562508847115865,135.7290633600943,479.0,156.29694271603609,0.09,PLC
141,5.1018929648040485,153.24311275436958,482.5,144.12717226890257,0.09,PLC
142,3.5242983269671075,210.56606482815099,248.5,197.7187672015223,0.06,PLC
143,4.122139499093554,186.818960484276,297.0,189.8093965662321,0.06,PLC
144,4.968397811312377,78.00419101158411,277.0,90.6394119701157,0.05,PLC
145,4.246112435400597,57.997578484858465,399.0,56.15243729762773,0.07,PLC
146,4.028922231961759,102.1197444910027,418.5,114.97923362285265,0.07,PLC
147,4.011868451588094,97.29485945740164,356.5,130.5232281715698,0.06,PLC
148,2.7038165960310483,119.91958178364814,398.0,141.6159247570726,0.08,PLC
149,3.0186886222144054,115.65815986277487,223.0,146.83515261862468,0.05,PLC
150,3.102581844562271,27.09648466871666,367.0,26.273995175368185,0.06,Random
151,4.6049201219731914,69.04376622458031,394.5,65.02461196848972,0.07,Random
152,3.809031999111395,33.61833867588659,219.0,33.80592061089199,0.04,Random
